Products,Months,Number_of_Orders
Face Cream,Jan,80
Face Cream,Feb,99
Face Cream,Mar,93
Face Cream,April,80
Face Cream,May,70
Face Cream,June,65
Face Cream,July,85
Face Cream,Aug,90
Face Cream,Sep,80
Face Cream,Oct,75
Face Cream,Nov,65
Face Cream,Dec,80
Skin Lightening Cream,Jan,100
Skin Lightening Cream,Feb,60
Skin Lightening Cream,Mar,95
Skin Lightening Cream,April,75
Skin Lightening Cream,May,100
Skin Lightening Cream,June,60
Skin Lightening Cream,July,95
Skin Lightening Cream,Aug,75
Skin Lightening Cream,Sep,109
Skin Lightening Cream,Oct,80
Skin Lightening Cream,Nov,109
Skin Lightening Cream,Dec,75
Beauty Cream,Jan,50
Beauty Cream,Feb,55
Beauty Cream,Mar,51
Beauty Cream,April,40
Beauty Cream,May,45
Beauty Cream,June,30
Beauty Cream,July,39
Beauty Cream,Aug,45
Beauty Cream,Sep,56
Beauty Cream,Oct,39
Beauty Cream,Nov,48
Beauty Cream,Dec,44
